metric,value,percentage
total_records,60,100.0% (60/60)
traceable_source_level,53,88.3% (53/60)
non_traceable_source_level,7,11.7% (7/60)
traceability_human_substantively_faithful_paraphrase,25,41.7% (25/60)
traceability_human_materially_unsupported_or_altered,20,33.3% (20/60)
traceability_human_exact_or_near_verbatim,8,13.3% (8/60)
traceability_human_traceability_false,7,11.7% (7/60)
lexical_diagnostic_non_exact_non_substring,53,88.3% (53/60)
statement_type_implementation_statement,15,25.0% (15/60)
statement_type_recommendation,11,18.3% (11/60)
statement_type_procedural_or_inquiry,11,18.3% (11/60)
statement_type_enacted_or_authorised_decision,9,15.0% (9/60)
statement_type_retrospective_judgement,8,13.3% (8/60)
statement_type_insufficient_evidence,2,3.3% (2/60)
statement_type_proposed_decision,2,3.3% (2/60)
statement_type_evidence_or_information_statement,2,3.3% (2/60)
policy_or_inquiry_policy_content,49,81.7% (49/60)
policy_or_inquiry_inquiry_procedure,11,18.3% (11/60)
consistency_review_consistency_human_reviewed_keep,52,86.7% (52/60)
consistency_review_consistency_human_reviewed_corrected,6,10.0% (6/60)
consistency_review_consistency_auto_clear,2,3.3% (2/60)
