category,label,count,percentage
dq_status,replace,32,53.3% (32/60)
dq_status,insufficient_evidence,12,20.0% (12/60)
dq_status,procedural_or_inquiry,11,18.3% (11/60)
dq_status,accept,5,8.3% (5/60)
dq_mapped_total,mapped,37,61.7% (37/60)
dq_primary,commitment_to_follow_through,22,59.5% (22/37)
dq_primary,helpful_frame,8,21.6% (8/37)
dq_primary,clear_values,6,16.2% (6/37)
dq_primary,useful_information,1,2.7% (1/37)
dq_secondary,useful_information,3,8.1% (3/37)
dq_secondary,clear_values,2,5.4% (2/37)
dq_secondary,sound_reasoning,1,2.7% (1/37)
dq_secondary,commitment_to_follow_through,1,2.7% (1/37)
