statement_type,dq_outcome,count,percentage_of_total
enacted_or_authorised_decision,mapped,9,15.0% (9/60)
evidence_or_information_statement,unmapped,2,3.3% (2/60)
implementation_statement,mapped,14,23.3% (14/60)
implementation_statement,unmapped,1,1.7% (1/60)
insufficient_evidence,unmapped,2,3.3% (2/60)
procedural_or_inquiry,unmapped,11,18.3% (11/60)
proposed_decision,mapped,2,3.3% (2/60)
recommendation,mapped,7,11.7% (7/60)
recommendation,unmapped,4,6.7% (4/60)
retrospective_judgement,mapped,5,8.3% (5/60)
retrospective_judgement,unmapped,3,5.0% (3/60)
